,Ticker,EBIT/EV,FCF/EV,Sales/EV,E/P,E/EV,Debt/Equity,Passes Graham test,Enterprise Value (M),Market cap (M),Net income (M),Operating income (M),Dividend Yield (%),Shareholder Yield (%),Buyback Yield (%),overperformer
141,BMY,0.051266209954446154,0.06728126939100644,0.2599293700886731,0.043187755646372616,0.03562843918956292,1.22769428545193,False,177582.856,146499.856,6327.0,9104.0,3.163143032484443,8.624581833284621,5.461438800800178,0.0
142,BRX,0.04190494472627805,0.053416079607943735,0.11487783466347175,0.06394072918815019,0.03340431278638165,1.8066219948440359,False,10603.212,5539.396,354.193,444.327,5.228584776159415,5.228584776159415,-0.0,0.0
143,AVGO,0.0579683384220911,0.06620778156708794,0.13476563090804444,0.05300706784289627,0.04665635416341809,1.8894417069320193,False,246375.873,216857.873,11495.0,14282.0,3.242676825326199,7.1415437988946024,3.8988669735684036,1.0
144,BR,0.0360356276126897,0.017564938107303942,0.27073430925596365,0.031737034853163086,0.02556495176470722,2.273586888001681,False,21087.464,16986.464,539.1,759.9,1.7113626473408476,1.8455871687009142,0.13422452136006646,1.0
145,BEPC,0.06704937396966562,0.023328484414604996,0.20168195450429674,0.26440486514402184,0.0802350390735728,3.25849688846338,False,18732.464,5684.464,1503.0,1256.0,1.372160976795323,,,0.0
146,BRO,0.0453564289742586,0.038598838005817364,0.1664202313344447,0.037819019210059736,0.03128704074844125,0.9973785551895328,False,21472.149,17763.549,671.8,973.9,0.6727259296817711,1.3645921787017685,0.6918662490199973,1.0
147,BF-A,0.03289786025762177,0.021804395752144663,0.1074645219212844,0.02377363981099232,0.02289734792017196,0.8008550053437834,False,36598.125,35249.125,838.0,1204.0,2.357505332092437,2.357505332092437,-0.0,0.0
148,BF-B,0.03289786025762177,0.021804395752144663,0.1074645219212844,0.02377363981099232,0.02289734792017196,0.8008550053437834,False,36598.125,35249.125,838.0,1204.0,2.357505332092437,2.357505332092437,-0.0,0.0
149,BRKR,0.05539798757704921,0.017132163113144545,0.3031913649680762,0.037931912243101454,0.035534262792717985,1.2170886075949368,False,8346.874,7819.274,296.6,462.4,0.3811095700756653,3.745872250844375,3.3647626807687097,0.0
150,BC,0.14141857512567324,0.028751767046827182,0.9902062056440654,0.13908642551157946,0.09840721077200203,1.2513743128435781,False,6879.577,4867.477,677.0,972.9,2.2311352748238598,11.4761709439835,9.24503566915964,0.0
151,BLDR,0.3073227876383524,0.2656590232506165,1.8525104816008542,0.31734221279091246,0.22411076353028703,0.7061108757928592,False,12267.903,8663.736,2749.369,3770.206,0,30.33689099629979,30.33689099629979,1.0
152,BG,0.1149120485390353,-0.30325254832783033,3.3401499556318295,0.10705187530472055,0.07998633728830387,0.7047673750717978,False,20128.438,15039.438,1610.0,2313.0,2.3205654957358677,3.650402456042955,1.3298369603070874,0.0
153,BURL,0.05710188080858365,0.03568071431156864,0.6928008087114503,0.043844497346404235,0.0303836313691429,7.23504875551566,False,13455.897,9324.751,408.839,768.357,0,2.8593579962961138,2.8593579962961138,0.0
154,BWXT,0.05240006934690462,0.007889652721170457,0.37972678142830485,0.05184145631929728,0.04050793825030851,1.881150082641845,False,5880.107,4594.605,238.191,308.118,1.7645478752894554,2.343226599765811,0.5786787244763555,1.0
155,CHRW,0.09055180467657595,0.10877193299985635,1.7653581777848457,0.08097907260214467,0.06723030919418804,1.5276386372835324,False,13989.583,11614.408,940.524,1266.782,2.45657804134994,15.27073079076417,12.814152749414228,0.0
156,CABO,0.06260633752713636,0.0383476192636811,0.19988416669406725,0.04709163354149667,0.027429836960780964,2.0132157382828395,False,8535.158,4971.541,234.118,534.355,1.3326853041166684,8.438912130862931,7.106226826746263,0.0
157,CACI,0.06272338038030648,0.08479609493175261,0.783891173915829,0.059987106289987796,0.04635344616819515,0.6146136096187471,False,7912.982,6114.547,366.794,496.329,0,0.16002819976540797,0.16002819976540797,0.0
158,CDNS,0.023429564549312134,0.02438831363979827,0.07771846449697545,0.01843275071930386,0.01852455637185097,0.29459427323966964,False,45828.466,46056.718,848.952,1073.741,0,2.522878426819033,2.522878426819033,1.0
159,CZR,0.09836724122438407,0.0006342863485720629,0.5719677148248576,-0.12961547888522038,-0.04751861894719037,3.3681605002605526,False,18918.9,6935.9,-899.0,1861.0,0,,,0.0
160,CPT,0.015984950303224867,0.01806282929087547,0.08703234800264432,0.05137891391884164,0.03998259299208885,0.7320456777133275,False,16347.439,12721.425,653.613,261.313,3.1193203591578773,,,0.0
161,CPB,0.0635135775783756,0.050159166817573334,0.4573618597359562,0.0510334556257199,0.04043715578370928,1.198919891989199,False,18720.407,14833.407,757.0,1189.0,3.0404344104623084,4.166271542496023,1.125837132033715,0.0
162,COF,0.14349216755112806,0.19994173779445604,0.5318838461716597,0.2090507700839972,0.11429679146929682,1.0632704822948822,False,64393.759,35206.759,7360.0,9240.0,3.345948466833542,17.400068173024003,14.054119706190463,0.0
163,CPRI,0.10656154667232486,0.06761878875220614,0.6672192523647007,0.1549196573906997,0.09700286972829572,1.5786280914605693,False,8473.976,5305.976,822.0,903.0,0,12.457651281660889,12.457651281660889,1.0
164,CAH,0.08646329778500153,0.1421136535108048,9.423875925167678,-0.053405349464458254,-0.04847972165469136,-2.957327344188658,False,19245.16,17470.16,-933.0,1664.0,3.199741731043104,8.923787761531663,5.724046030488559,1.0
165,CSL,0.07242279432928192,0.046404634384851484,0.3742289080028169,0.06035933408807673,0.052456425460732536,0.9638360127560246,False,17614.62,15308.32,924.0,1275.7,0.8779539503720251,3.490912136003052,2.612958185631027,0.0
166,CG,0.08512042893498974,-0.05620384188438782,0.18162453113231863,0.10415669313188759,0.06631003207972173,1.3488402504209098,False,18473.826,11761.126,1225.0,1572.5,3.7717476794534965,5.349827862741524,1.5780801832880276,0.0
167,KMX,0.01833365243171363,-0.08608261946454929,0.9608419875542836,0.08236840920029243,0.03467712259469514,3.5609587481278493,False,33200.477,13977.41,1151.297,608.686,0,4.124355036012965,4.124355036012965,0.0
